example_idx,sentence,true_label,confidence,variability,region
0,hide new secretions from the parental units ,0,0.9780720353126526,0.022955579803844484,Ambiguous
1,"contains no wit , only labored gags ",0,0.9978750944137573,0.002727638937125417,Easy
2,that loves its characters and communicates something rather beautiful about human nature ,1,0.9995636940002441,0.00039242550732037783,Easy
3,remains utterly satisfied to remain the same throughout ,0,0.8965918302536011,0.1948233275926282,Ambiguous
4,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0,0.9975668072700501,0.0035745592779005296,Easy
5,that 's far too tragic to merit such superficial treatment ,0,0.9976204633712769,0.0034642566298818825,Easy
6,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",1,0.9973667860031128,0.004242728020376869,Ambiguous
7,of saucy ,1,0.9478864192962646,0.07013194942782133,Ambiguous
8,a depressed fifteen-year-old 's suicidal poetry ,0,0.9917821407318115,0.011244847015952629,Ambiguous
9,are more deeply thought through than in most ` right-thinking ' films ,1,0.997802484035492,0.0025458058165757297,Easy
10,goes to absurd lengths ,0,0.9913243651390076,0.007506346725255963,Ambiguous
11,for those moviegoers who complain that ` they do n't make movies like they used to anymore ,0,0.9089683413505554,0.03350245666574137,Ambiguous
12,"the part where nothing 's happening , ",0,0.9978259086608887,0.0030108028983087264,Easy
13,saw how bad this movie was ,0,0.9981285095214844,0.0025750521723397137,Easy
14,lend some dignity to a dumb story ,0,0.9870857834815979,0.01966620771486145,Ambiguous
15,the greatest musicians ,1,0.9994011998176575,0.0006202279755835362,Easy
16,cold movie ,0,0.9965306282043457,0.005415584456340616,Ambiguous
17,with his usual intelligence and subtlety ,1,0.9992902517318726,0.0008758445073466278,Easy
18,redundant concept ,0,0.8907865405082702,0.21066784361608135,Ambiguous
19,"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ",1,0.99924795627594,0.0008546790056866761,Easy
20,equals the original and in some ways even betters it ,1,0.9970911860466003,0.004712411441189676,Ambiguous
21,"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",1,0.7298141300678254,0.30420686143833775,Ambiguous
22,a smile on your face ,1,0.9992761492729187,0.0008446891209684643,Easy
23,"comes from the brave , uninhibited performances ",1,0.9994811415672302,0.0005257372312611979,Easy
24,excruciatingly unfunny and pitifully unromantic ,0,0.9982126116752624,0.0023896435430115956,Easy
25,enriched by an imaginatively mixed cast of antic spirits ,1,0.9991353988647461,0.0011429875097829986,Easy
26,"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0,0.996877121925354,0.004448418938397673,Ambiguous
27,in world cinema ,1,0.9956531167030335,0.0054549422966516355,Ambiguous
28,very good viewing alternative ,1,0.9994307518005371,0.0005715336201087169,Easy
29,"the plot is nothing but boilerplate clichés from start to finish , ",0,0.998002552986145,0.002644447093150855,Easy
30,the action is stilted ,0,0.9975949764251709,0.003509022476349084,Easy
31,on all cylinders ,1,0.9939624071121216,0.008468099589683658,Ambiguous
32,"will find little of interest in this film , which is often preachy and poorly acted ",0,0.998309314250946,0.002171114439606346,Easy
33,by far the worst movie of the year ,0,0.9979638457298279,0.0028752301708127024,Easy
34,"sit through , ",0,0.9239209890365601,0.08773760311301035,Ambiguous
35,more than another `` best man '' clone by weaving a theme throughout this funny film ,1,0.998558521270752,0.0016509503225966616,Easy
36,it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,1,0.9962276697158814,0.00459264551753849,Ambiguous
37,heroes ,1,0.9956079602241517,0.005207808615127589,Ambiguous
38,oblivious to the existence of this film ,0,0.9951546669006348,0.0068997953026193,Ambiguous
39,sharply ,1,0.9243821859359741,0.14814300255931723,Ambiguous
40,"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ",0,0.997226870059967,0.004219841400591847,Ambiguous
41,sometimes dry ,0,0.9956345200538635,0.007015364800789314,Ambiguous
42,"as they come , already having been recycled more times than i 'd care to count ",0,0.9965890765190124,0.004969019258159395,Ambiguous
43,"covers this territory with wit and originality , suggesting that with his fourth feature ",1,0.9988527774810791,0.0016724340874586384,Easy
44,a $ 40 million version of a game ,0,0.986738657951355,0.014710563647173764,Ambiguous
45,gorgeous and deceptively minimalist ,1,0.9993982553482056,0.0007089154951776899,Easy
46,cross swords with the best of them and ,1,0.9935386419296265,0.010862811332261869,Ambiguous
47,as a fringe feminist conspiracy theorist ,0,0.9775174975395202,0.014268484215217408,Ambiguous
48,"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . ",1,0.9990434288978577,0.0009315696854630976,Easy
49,disappointments ,0,0.9969459295272827,0.004777248993500235,Ambiguous
50,the horrors ,0,0.995437216758728,0.0049082015985946765,Ambiguous
51,a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,1,0.9982004165649414,0.002063413964168285,Easy
52,many pointless ,0,0.9980949521064758,0.0025814281187350467,Easy
53,a beautifully ,1,0.9995651006698608,0.00038872087616104596,Easy
54,"contrived , well-worn situations ",0,0.9965478777885437,0.004918165879671971,Ambiguous
55,a doa ,0,0.9917824625968933,0.014381688916702075,Ambiguous
56,poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . ,0,0.996061897277832,0.003935010115778277,Ambiguous
57,to be as subtle and touching as the son 's room ,1,0.9986676692962646,0.0016580303502268662,Easy
58,starts with a legend ,1,0.9992567777633667,0.0009015592250596843,Easy
59,far less sophisticated and ,0,0.9969914197921753,0.004372140204557701,Ambiguous
60,rich veins of funny stuff in this movie ,1,0.9990132212638855,0.0013965405069507044,Easy
61,no apparent joy ,0,0.9975278496742248,0.003130063914382362,Easy
62,shot on ugly digital video ,0,0.9972814202308655,0.003965405040202098,Ambiguous
63,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,0,0.9969331979751587,0.0042790723601658495,Ambiguous
64,"though ford and neeson capably hold our interest , but its just not a thrilling movie ",0,0.9974629521369934,0.00356292997277387,Easy
65,is pretty damned funny . ,1,0.9995280623435974,0.00042457048679982716,Easy
66,we never feel anything for these characters ,0,0.996790099143982,0.0035898642542881746,Easy
67,'s a lousy one at that ,0,0.9979604244232178,0.002900634353955701,Easy
68,the corporate circus that is the recording industry in the current climate of mergers and downsizing ,0,0.9232357501983642,0.039107292075030005,Ambiguous
69,"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . ",1,0.9995749831199646,0.0003510656453495273,Easy
70,of the most highly-praised disappointments i ,0,0.9963571429252625,0.0059172612859364196,Ambiguous
71,"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ",0,0.9976728677749633,0.0030480789508852482,Easy
72,seem fresh ,1,0.9993946075439453,0.0005395755357102584,Easy
73,to the dustbin of history ,0,0.9956365346908569,0.0068380326847913096,Ambiguous
74,"as a director , eastwood is off his game ",0,0.9968795537948608,0.004611150946688615,Ambiguous
75,pays earnest homage to turntablists ,1,0.9943370819091797,0.009886446483343218,Ambiguous
76,weak and ,0,0.9972979068756104,0.003951412742769968,Ambiguous
77,"skip this dreck , ",0,0.9974048495292663,0.0040149655392348665,Ambiguous
78,contains very few laughs and even less surprises ,0,0.9980989933013916,0.0024010005958847343,Easy
79,film to affirm love 's power to help people endure almost unimaginable horror ,1,0.9975452661514282,0.002585148363655424,Easy
80,are an absolute joy ,1,0.9995475888252259,0.00041708784728905805,Easy
81,generates ,1,0.9936922192573547,0.011234032270585828,Ambiguous
82,", like life , is n't much fun without the highs and lows ",1,0.8130854219198227,0.35630019856998624,Ambiguous
83,based on a true and historically significant story ,1,0.999340546131134,0.000776779851327122,Easy
84,well-rounded tribute ,1,0.9994364976882935,0.0006117432867529917,Easy
85,", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . ",0,0.9981270909309388,0.0024905788634284587,Easy
86,so much like a young robert deniro ,1,0.9959426403045655,0.006437922921862773,Ambiguous
87,"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ",1,0.9993927478790283,0.0006023275859741407,Easy
88,fashioning an engrossing entertainment out ,1,0.9995564937591552,0.00037716612671472233,Easy
89,spiffy animated feature ,1,0.9993425726890564,0.0007399170656852848,Easy
90,that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,0,0.9972055792808533,0.004199489802991894,Ambiguous
91,"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life ",1,0.9986903190612793,0.001248517724022073,Easy
92,strung-together moments ,0,0.7822111785411835,0.27923893201030237,Ambiguous
93,", generous and subversive artworks ",1,0.9995667219161988,0.0003856442063019362,Easy
94,"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ",1,0.9855620503425598,0.018275274724612166,Ambiguous
95,funny yet ,1,0.9993272423744202,0.000592384107861381,Easy
96,overbearing and over-the-top ,0,0.9955665111541748,0.00473282765845096,Ambiguous
97,it 's robert duvall ! ,1,0.9959383606910706,0.006475889149535432,Ambiguous
98,rich and sudden wisdom ,1,0.999357032775879,0.0006999020478041334,Easy
99,"acted and directed , it 's clear that washington most certainly has a new career ahead of him ",1,0.9988123655319214,0.001642687574271155,Easy
100,in memory ,1,0.9958321452140808,0.00607899954752868,Ambiguous
101,respectable new one ,1,0.9994377851486206,0.0005960540372842156,Easy
102,yet this grating showcase ,0,0.9969087362289428,0.004390923858368355,Ambiguous
103,hate to tear your eyes away from the images long enough to read the subtitles ,1,0.9878084540367127,0.020066616647143418,Ambiguous
104,addition to sporting one of the worst titles in recent cinematic history ,0,0.9977336168289185,0.0033297440805144973,Easy
105,", this gender-bending comedy is generally quite funny . ",1,0.999470341205597,0.0005396972889207365,Easy
106,"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year ",0,0.9953249812126159,0.0077025803696353125,Ambiguous
107,do n't work in concert ,0,0.9974889755249023,0.0031162589303784295,Easy
108,"the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal . ",1,0.9994883418083191,0.0005076156599911311,Easy
109,would have liked it more if it had just gone that one step further ,1,0.019901106599718332,0.019003588537312453,Hard
110,"it 's too harsh to work as a piece of storytelling , ",0,0.9982678532600403,0.002249088491445973,Easy
111,hawaiian shirt ,1,0.9268636107444763,0.09142178674473805,Ambiguous
112,"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch . ",1,0.9995686292648316,0.00036502022551419247,Easy
113,provide its keenest pleasures ,1,0.999287486076355,0.0008331492208361012,Easy
114,altogether too slight to be called any kind of masterpiece ,0,0.9969274282455445,0.004265011931738218,Ambiguous
115,grievous but ,0,0.9582595109939576,0.054768124837244074,Ambiguous
116,"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . ",0,0.9963759779930115,0.00425148144909174,Ambiguous
117,hopeless ,0,0.9849002480506897,0.01742213252069019,Ambiguous
118,"unpretentious , charming , quirky , original ",1,0.9994726657867432,0.0005243093695439318,Easy
119,nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . ,0,0.9947482228279114,0.005644408371059682,Ambiguous
120,very well-written and very well-acted . ,1,0.9995302796363831,0.0003909395098048832,Easy
121,are n't many conclusive answers in the film ,0,0.9976067185401917,0.0033147046242441238,Easy
122,"clumsy dialogue , heavy-handed phoney-feeling sentiment , ",0,0.9979611277580261,0.002860712064948999,Easy
123,"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness . ",0,0.9905210494995117,0.01722322028519012,Ambiguous
124,bring tissues . ,1,0.9921761870384216,0.013650264363842758,Ambiguous
125,the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work . ,0,0.9978478431701661,0.0031119389318297517,Easy
126,brings the proper conviction to his role as ( jason bourne ) . ,1,0.9991188168525695,0.001256346021864327,Easy
127,"as a young woman of great charm , generosity and diplomacy ",1,0.9995740413665771,0.0003726864874907316,Easy
128,there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . ,1,0.9994330644607544,0.0005703548863551002,Easy
129,just too silly ,0,0.9979289293289184,0.0028465941465066927,Easy
130,cinematic bon bons ,1,0.9708993792533874,0.04171627260588022,Ambiguous
131,it is supremely unfunny and unentertaining to watch middle-age and ,0,0.9981342554092407,0.0024806696428496563,Easy
132,a lively and engaging examination of how similar obsessions can dominate a family . ,1,0.9995051026344299,0.00045639516027842585,Easy
133,irritates and ,0,0.9968644618988037,0.004469682355320066,Ambiguous
134,collapse ,0,0.9941452026367188,0.008890496011344035,Ambiguous
135,so many of the challenges it poses for itself that one can forgive the film its flaws ,1,0.9669521450996399,0.046377576717029696,Ambiguous
136,", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool . ",1,0.9989769220352173,0.000986479328654755,Easy
137,wide-awake all the way through ,1,0.9645055174827576,0.06195116869141839,Ambiguous
138,"( vainly , i think ) ",0,0.8672833979129791,0.23840067315230878,Ambiguous
139,is one big excuse to play one lewd scene after another . ,0,0.9978961229324341,0.0028527041336731725,Easy
140,is effective if you stick with it ,1,0.9993723511695862,0.000702489735578105,Easy
141,that underscore the importance of family tradition and familial community ,1,0.999352216720581,0.0007816401152975656,Easy
142,"delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ",1,0.9983665943145752,0.0013708454367117886,Easy
143,"watching this digital-effects-heavy , supposed family-friendly comedy ",0,0.9919508337974549,0.008171335492653451,Ambiguous
144,absolutely and completely ridiculous and ,0,0.9969477176666259,0.004157426000307471,Ambiguous
145,'s a very tasteful rock and roll movie . ,1,0.9995784640312195,0.00036148953572967486,Easy
146,"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction . ",0,0.998334527015686,0.0021269583527424763,Easy
147,realistic portrayal ,1,0.9986268401145935,0.0021201604415435247,Easy
